"Date","Price","Open","High","Low","Vol.","Change %"
"07/20/2022","681.8949","679.9402","682.6820","672.6816","","0.29%"
"07/19/2022","679.9403","681.3803","681.6271","664.9379","","-0.21%"
"07/18/2022","681.3804","658.4651","683.3418","651.5687","","3.48%"
"07/15/2022","658.4651","648.0856","662.7017","643.4519","","1.60%"
"07/14/2022","648.0856","656.9427","661.6039","632.8500","","-1.76%"
"07/13/2022","659.7085","654.9268","667.6613","649.3383","","0.30%"
"07/12/2022","657.7458","693.4287","693.4287","656.1249","","-5.54%"
"07/11/2022","696.3146","694.7588","702.1362","687.4884","","-0.20%"
"07/08/2022","697.6896","688.1653","699.8827","681.7909","","0.94%"
"07/07/2022","691.2026","664.1490","697.2155","658.1537","","4.07%"
"07/06/2022","664.1490","674.6913","685.5312","654.5588","","-1.56%"
"07/05/2022","674.6913","719.6706","730.5977","668.2583","","-6.25%"
"07/01/2022","719.6706","709.2296","724.9717","704.8134","","1.47%"
"06/30/2022","709.2296","737.1568","737.5367","709.2171","","-3.79%"
"06/29/2022","737.1569","744.9140","755.8021","736.2073","","-1.04%"
"06/28/2022","744.9141","737.1554","748.7192","737.1353","","1.05%"
"06/27/2022","737.1555","735.0283","741.3659","725.0293","","0.29%"
"06/24/2022","735.0283","724.6322","738.5154","718.2314","","1.43%"
"06/23/2022","724.6323","742.0059","742.5939","722.1801","","-2.34%"
"06/22/2022","742.0059","755.4419","755.4419","724.0020","","-1.78%"
"06/21/2022","755.4420","753.6103","766.6826","753.6009","","0.24%"
"06/17/2022","753.6103","783.0700","790.1574","748.2269","","-3.76%"
"06/16/2022","783.0701","776.4697","784.8183","767.6777","","0.85%"
"06/15/2022","776.4697","781.1693","786.2723","773.5495","","-0.60%"
"06/14/2022","781.1694","794.0696","802.6536","778.5921","","-1.62%"
"06/13/2022","794.0697","801.0080","801.0080","779.6568","","-1.33%"
"06/10/2022","804.8042","813.0209","816.7322","795.6902","","-1.47%"
"06/09/2022","816.8141","815.0983","818.7546","807.9879","","-0.22%"
"06/08/2022","818.6304","810.8315","825.3839","810.8315","","0.54%"
"06/07/2022","814.2722","812.7852","817.3502","807.4708","","-0.27%"
"06/06/2022","816.4387","808.2956","821.0144","808.2956","","1.01%"
"06/03/2022","808.2956","800.3395","811.2632","795.0115","","0.99%"
